endpoint_id,llm_alias,mode,usable,elapsed_seconds,answer_preview,error_type,error_message
direct_gemini_2_0_flash_001,gemini-2.0-flash-001,direct,True,14.084,OK ,,
direct_gpt_4o_2024_08_06,gpt-4o-2024-08-06,direct,True,7.952,OK,,
direct_claude_sonnet_4_0,claude-sonnet-4-0,direct,True,7.829,OK,,
direct_gemini_2_5_pro,gemini-2.5-pro,direct,True,7.729,OK,,
direct_o3_mini,o3-mini,direct,False,93.343,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=74882b0ce22a4c16bbf9f9df697ebfc8, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=1f4f6d80be0b471ab3086339683a97cd, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_low_reasoning,gpt-5-low-reasoning,direct,True,8.052,OK,,
direct_gpt_4_turbo,gpt-4-turbo,direct,True,7.862,OK,,
direct_gpt_5_high_reasoning,gpt-5-high-reasoning,direct,True,8.2,OK,,
direct_claude_opus_4_1_thinking,claude-opus-4-1-thinking,direct,False,93.894,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=3f1c2acab3e142d9b4057b1ddc5270de, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=fee2c3445526409189386d737e3741bf, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_3_5_turbo,gpt-3.5-turbo,direct,True,8.089,OK.,,
direct_together_zai_org_glm_4_5_air_fp8,together/zai-org/glm-4.5-air-fp8,direct,False,93.403,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=6f5c6f1717a14a96a66da16f5e90065c, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=5f2a917978f34df0bf939de69a30efb5, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_nano,gpt-5-nano,direct,True,8.315,OK,,
direct_sonar_pro,sonar-pro,direct,True,7.973,OK,,
direct_claude_sonnet_4_5,claude-sonnet-4-5,direct,True,7.903,OK,,
direct_llama3_2_vision_11b_instruct_q4_k_m,llama3.2-vision:11b-instruct-q4_K_M,direct,False,0.694,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""llama3.2-vision:11b-instruct-q4_K_M"",""ctx"":{""max_length"":32}}]}"
direct_sonar,sonar,direct,True,7.996,OK,,
direct_grok_4,grok-4,direct,True,11.059,OK,,
direct_gpt_5_pro,gpt-5-pro,direct,False,93.381,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=a8adb0d8b0a4445c95e36edb2efdda23, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=b6416f0b538d4ae3b1749a4240425bb3, type=user_message, status={}, content_keys=[], text_preview=''"
direct_grok_4_fast_non_reasoning,grok-4-fast-non-reasoning,direct,True,4.718,OK,,
direct_llama3_1_8b_instruct_q4_k_m,llama3.1:8b-instruct-q4_K_M,direct,False,93.404,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=4b944f012dc64b2faaf571d39fbcd637, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=069e292ca03e4b5481b33ac21bf0d43b, type=user_message, status={}, content_keys=[], text_preview=''"
direct_claude_haiku_4_5,claude-haiku-4-5,direct,True,4.787,OK,,
direct_gpt_5,gpt-5,direct,True,7.728,OK,,
direct_claude_opus_4_1,claude-opus-4-1,direct,True,7.789,OK,,
direct_grok_4_1_fast_reasoning,grok-4-1-fast-reasoning,direct,True,7.943,OK,,
direct_together_meta_llama_meta_llama_3_8b_instruct_lite,together/meta-llama/meta-llama-3-8b-instruct-lite,direct,False,0.642,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/meta-llama/meta-llama-3-8b-instruct-lite"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_1_codex_mini,gpt-5.1-codex-mini,direct,False,93.075,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=f44715441fca4de88b59d8490826ad93, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=b18dddc210ea4bab90687b3300aad444, type=user_message, status={}, content_keys=[], text_preview=''"
direct_together_meta_llama_llama_4_maverick_17b_128e_instruct_fp8,together/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,direct,False,0.755,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/meta-llama/llama-4-maverick-17b-128e-instruct-fp8"",""ctx"":{""max_length"":32}}]}"
direct_grok_4_fast_reasoning,grok-4-fast-reasoning,direct,True,8.06,OK,,
direct_gemini_2_0_flash,gemini-2.0-flash,direct,True,11.092,OK ,,
direct_gpt_5_1,gpt-5.1,direct,True,7.835,OK,,
direct_gpt_5_minimal_reasoning,gpt-5-minimal-reasoning,direct,True,7.863,OK,,
direct_together_meta_llama_llama_3_3_70b_instruct_turbo,together/meta-llama/llama-3.3-70b-instruct-turbo,direct,False,0.672,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/meta-llama/llama-3.3-70b-instruct-turbo"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_1_codex,gpt-5.1-codex,direct,False,93.779,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=2df5f1fc55624e2b90b97d6e04255060, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=77ae94cc94a64257a93c65a02db5b4be, type=user_message, status={}, content_keys=[], text_preview=''"
direct_llama3_2_3b,llama3.2:3b,direct,False,93.419,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=8200fa99e8c84435a16b1503ff1a071d, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=b5431821bd74463089972f2c84615222, type=user_message, status={}, content_keys=[], text_preview=''"
direct_together_moonshotai_kimi_k2_instruct,together/moonshotai/kimi-k2-instruct,direct,False,2.908,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/moonshotai/kimi-k2-instruct"",""ctx"":{""max_length"":32}}]}"
direct_o3_pro,o3-pro,direct,False,93.198,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=94c56c9a39b8488d9230f87587ad206c, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=5f1a77883bbe4314b9a6b9c346b25b93, type=user_message, status={}, content_keys=[], text_preview=''"
direct_together_qwen_qwen3_coder_480b_a35b_instruct_fp8,together/qwen/qwen3-coder-480b-a35b-instruct-fp8,direct,False,0.823,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/qwen/qwen3-coder-480b-a35b-instruct-fp8"",""ctx"":{""max_length"":32}}]}"
direct_together_qwen_qwen2_5_7b_instruct_turbo,together/qwen/qwen2.5-7b-instruct-turbo,direct,False,0.61,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/qwen/qwen2.5-7b-instruct-turbo"",""ctx"":{""max_length"":32}}]}"
direct_claude_opus_4_5,claude-opus-4-5,direct,True,7.843,OK,,
direct_gpt_5_1_chat_latest,gpt-5.1-chat-latest,direct,False,93.498,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=b91609502dd24fc586c181f5cf5e0762, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=47babdf697f04d6c967913d23f60ad01, type=user_message, status={}, content_keys=[], text_preview=''"
direct_together_meta_llama_meta_llama_3_1_8b_instruct_turbo,together/meta-llama/meta-llama-3.1-8b-instruct-turbo,direct,False,0.794,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/meta-llama/meta-llama-3.1-8b-instruct-turbo"",""ctx"":{""max_length"":32}}]}"
direct_gpt_4o_2024_11_20,gpt-4o-2024-11-20,direct,True,4.804,OK,,
direct_together_deepseek_ai_deepseek_v3_1,together/deepseek-ai/deepseek-v3.1,direct,False,0.723,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/deepseek-ai/deepseek-v3.1"",""ctx"":{""max_length"":32}}]}"
direct_gemini_2_5_flash_lite,gemini-2.5-flash-lite,direct,True,11.033,OK,,
direct_together_google_gemma_3n_e4b_it,together/google/gemma-3n-e4b-it,direct,False,93.437,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=f57c28f4ff0345208eae0f7991a28d75, type=ai_message, status={'name': 'done', 'message': 'generated'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=d01c945488034fa496b58cc1d4456cb4, type=user_message, status={}, content_keys=[], text_preview=''"
direct_grok_4_1_fast_non_reasoning,grok-4-1-fast-non-reasoning,direct,True,5.269,OK,,
direct_gpt_5_mini,gpt-5-mini,direct,True,7.997,OK,,
direct_claude_opus_4_6,claude-opus-4-6,direct,True,7.764,OK,,
direct_google_gemma_3_27b_it,google/gemma-3-27b-it,direct,False,94.184,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=86a6fccff2024a6081ffbf638b4ae801, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=62140eea0d2c4b5b8011fc1121a55f73, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_chat_latest,gpt-5-chat-latest,direct,True,8.102,OK,,
direct_gpt_5_codex,gpt-5-codex,direct,False,93.599,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=bead171fa6fd4400818eda6696314234, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=8c25d836b28c4454932a75e629a9202a, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_1_codex_max,gpt-5.1-codex-max,direct,False,112.298,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=89588e36086347a69411bad4fcf951fa, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=e73b2a96b38447f6ae1b06c62a5c2914, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_2,gpt-5.2,direct,True,8.246,OK,,
direct_gpt_5_2_chat_latest_high_reasoning,gpt-5.2-chat-latest-high-reasoning,direct,False,0.672,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""gpt-5.2-chat-latest-high-reasoning"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_2_chat_latest_low_reasoning,gpt-5.2-chat-latest-low-reasoning,direct,False,0.816,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""gpt-5.2-chat-latest-low-reasoning"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_2_chat_latest_medium_reasoning,gpt-5.2-chat-latest-medium-reasoning,direct,False,1.602,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""gpt-5.2-chat-latest-medium-reasoning"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_2_codex,gpt-5.2-codex,direct,False,933.619,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=93945e2056aa4aacb4e57b3828ee02b4, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=57dc2f3b8b68493bae93f1de48e9287b, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_2_pro,gpt-5.2-pro,direct,False,94.627,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=f5a4732d4f184b30aa3f25a7d72ee0ed, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=5e8d6e0472ec4aafbc4f4199043a67d7, type=user_message, status={}, content_keys=[], text_preview=''"
direct_grok_3,grok-3,direct,True,907.137,OK,,
direct_grok_3_mini,grok-3-mini,direct,True,11.686,OK,,
direct_grok_4_0709,grok-4-0709,direct,True,11.07,OK,,
direct_grok_4_20_beta_0309_non_reasoning,grok-4.20-beta-0309-non-reasoning,direct,False,0.842,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""grok-4.20-beta-0309-non-reasoning"",""ctx"":{""max_length"":32}}]}"
direct_grok_4_20_beta_0309_reasoning,grok-4.20-beta-0309-reasoning,direct,True,8.815,"OK   The user's explicit final instruction was to ""Answer exactly with the single word OK."" All preceding context (RadonPy, MAPIE, ACCRa project, error classification preferences, LaTeX CV pagination, mobile CSS fixes, Acronis competencies, etc.) was therefore disregarded in favor of literal complia",,
direct_grok_4_20_multi_agent_beta_0309,grok-4.20-multi-agent-beta-0309,direct,False,92.055,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=e04d67827d6045c08250f6f5fecab2da, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=8d4d55e29f4740a2931a3addd9cabe6d, type=user_message, status={}, content_keys=[], text_preview=''"
direct_nvidia_nvidia_nemotron_3_nano_30b_a3b_bf16,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,direct,False,1.038,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16"",""ctx"":{""max_length"":32}}]}"
direct_qwen_qwen3_5_9b,Qwen/Qwen3.5-9B,direct,True,11.214,  OK,,
direct_gemini_3_1_pro_preview,gemini-3.1-pro-preview,direct,True,14.935,OK,,
direct_gemini_3_flash_preview,gemini-3-flash-preview,direct,True,8.208,OK,,
direct_gemini_3_1_flash_lite_preview,gemini-3.1-flash-lite-preview,direct,True,4.822,OK,,
direct_together_google_gemma_4_31b_it,together/google/gemma-4-31b-it,direct,True,47.239,OK,,
direct_together_zai_org_glm_5_1,together/zai-org/glm-5.1,direct,True,8.071,OK,,
direct_together_qwen_qwen3_coder_next_fp8,together/qwen/qwen3-coder-next-fp8,direct,False,0.773,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/qwen/qwen3-coder-next-fp8"",""ctx"":{""max_length"":32}}]}"
direct_together_qwen_qwen3_235b_a22b_instruct_2507_tput,together/qwen/qwen3-235b-a22b-instruct-2507-tput,direct,False,0.915,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/qwen/qwen3-235b-a22b-instruct-2507-tput"",""ctx"":{""max_length"":32}}]}"
direct_together_deepseek_ai_deepseek_r1,together/deepseek-ai/deepseek-r1,direct,True,7.981, OK,,
direct_together_moonshotai_kimi_k2_5,together/moonshotai/kimi-k2.5,direct,True,21.092,OK,,
direct_together_moonshotai_kimi_k2_6,together/moonshotai/kimi-k2.6,direct,True,8.356,OK,,
direct_together_minimaxai_minimax_m2_5,together/minimaxai/minimax-m2.5,direct,False,91.956,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=4afd013edc2b4243a66169341147c9c8, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=fc6ee63a75634cbb8d5003f372f5cd17, type=user_message, status={}, content_keys=[], text_preview=''"
direct_together_minimaxai_minimax_m2_7,together/minimaxai/minimax-m2.7,direct,True,8.7,  OK,,
direct_together_essentialai_rnj_1_instruct,together/essentialai/rnj-1-instruct,direct,False,1.194,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/essentialai/rnj-1-instruct"",""ctx"":{""max_length"":32}}]}"
direct_gpt_5_4,gpt-5.4,direct,True,8.475,OK,,
direct_gpt_5_4_low_reasoning,gpt-5.4-low-reasoning,direct,True,8.359,OK,,
direct_gpt_5_4_high_reasoning,gpt-5.4-high-reasoning,direct,True,5.372,OK,,
direct_gpt_5_4_xhigh_reasoning,gpt-5.4-xhigh-reasoning,direct,True,8.152,OK,,
direct_gpt_5_5,gpt-5.5,direct,True,6.284,OK,,
direct_gpt_5_5_low_reasoning,gpt-5.5-low-reasoning,direct,True,9.161,OK,,
direct_gpt_5_5_high_reasoning,gpt-5.5-high-reasoning,direct,True,8.774,OK,,
direct_gpt_5_5_xhigh_reasoning,gpt-5.5-xhigh-reasoning,direct,True,9.141,OK,,
direct_gpt_5_5_pro,gpt-5.5-pro,direct,True,11.595,OK,,
direct_gpt_5_4_mini,gpt-5.4-mini,direct,True,8.208,OK,,
direct_gpt_5_4_nano,gpt-5.4-nano,direct,True,5.008,OK,,
direct_gpt_5_4_pro,gpt-5.4-pro,direct,False,92.856,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=30a383faf7154887890f366a608e15ff, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=f4458642ff2e4358a503b9139d2b2f98, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_3_codex,gpt-5.3-codex,direct,False,112.723,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=64f36581f4bc426291dc567ecaebb443, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=4f88ec29576649fda2e573b1609740aa, type=user_message, status={}, content_keys=[], text_preview=''"
direct_gpt_5_2_low_reasoning,gpt-5.2-low-reasoning,direct,True,8.534,OK,,
direct_gpt_5_2_high_reasoning,gpt-5.2-high-reasoning,direct,True,5.078,OK,,
direct_gpt_5_2_xhigh_reasoning,gpt-5.2-xhigh-reasoning,direct,True,8.954,OK,,
direct_together_qwen_qwen3_5_397b_a17b,together/qwen/qwen3.5-397b-a17b,direct,True,8.161,  OK,,
direct_together_zai_org_glm_5,together/zai-org/glm-5,direct,True,217.614,OK,,
direct_gemini_flash_latest,gemini-flash-latest,direct,True,38.175,OK,,
direct_gemini_pro_latest,gemini-pro-latest,direct,True,15.131,OK,,
direct_claude_opus_4_7,claude-opus-4-7,direct,False,92.559,,TimeoutError,"Model response timed out while waiting for a new done ai_message. Last messages received from ConstructorPlatform: Message 1: id=cceb729955b6476f891f99338166408b, type=ai_message, status={'name': 'aborted', 'message': 'starting'}, content_keys=['type', 'text', 'references', 'documents', 'links'], text_preview='' Message 2: id=d8b68a438c3c4a99afabb286a416ca7f, type=user_message, status={}, content_keys=[], text_preview=''"
direct_claude_sonnet_4_6,claude-sonnet-4-6,direct,True,8.197,OK,,
direct_grok_4_20_reasoning,grok-4.20-reasoning,direct,True,7.8,OK,,
direct_grok_4_20_non_reasoning,grok-4.20-non-reasoning,direct,True,4.891,OK,,
direct_together_deepseek_ai_deepseek_v4_pro,together/deepseek-ai/deepseek-v4-pro,direct,False,1.429,,Exception,"Failed to start session: 422, {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""llm_id""],""msg"":""String should have at most 32 characters"",""input"":""together/deepseek-ai/deepseek-v4-pro"",""ctx"":{""max_length"":32}}]}"
